#File name: D:\kx02量子试验计划制定软件\plan test\J2K2CZ05-for Quantum_v1.2\2月16日下午短期计划\SE201702160114LJ\KX02_SE_B20170216_01_14LJ_deframe.txt
#Satellite: DAMPE
#REF_FRAME: J2000
#Created: 2017-02-16T15:23:23
#Created: 2017-02-16T15:23:23
#Prepared by University of Science and Technology of China
#Please send comments and suggestions to lfz@ustc.edu.cn
#-----------------------------------------------------------------------------------------------
实验任务类型:星地量子纠缠分发
地面站代号:LJZ
N T B Lon Lat Alt X Y Z VX VY VZ
2818 2017-02-16T17:33:09 2017-02-16T17:33:09 103.238 44.107 508501.100 -4412778.357 2232198.442 4777914.985 -4043.910 3556.211 -5376.406
2818 2017-02-16T17:33:10 2017-02-16T17:33:10 103.218 44.044 508491.700 -4416819.701 2235753.405 4772535.470 -4038.508 3553.478 -5382.265
2818 2017-02-16T17:33:11 2017-02-16T17:33:11 103.198 43.982 508482.200 -4420855.641 2239305.633 4767150.099 -4033.102 3550.740 -5388.117
2818 2017-02-16T17:33:12 2017-02-16T17:33:12 103.178 43.919 508472.700 -4424886.172 2242855.120 4761758.879 -4027.690 3547.998 -5393.963
2818 2017-02-16T17:33:13 2017-02-16T17:33:13 103.159 43.857 508463.300 -4428911.288 2246401.863 4756361.816 -4022.274 3545.251 -5399.802
2818 2017-02-16T17:33:14 2017-02-16T17:33:14 103.139 43.795 508453.800 -4432930.986 2249945.857 4750958.918 -4016.853 3542.500 -5405.635
2818 2017-02-16T17:33:15 2017-02-16T17:33:15 103.119 43.732 508444.400 -4436945.259 2253487.097 4745550.189 -4011.426 3539.745 -5411.461
2818 2017-02-16T17:33:16 2017-02-16T17:33:16 103.100 43.670 508434.900 -4440954.104 2257025.581 4740135.638 -4005.995 3536.986 -5417.280
2818 2017-02-16T17:33:17 2017-02-16T17:33:17 103.080 43.607 508425.400 -4444957.515 2260561.303 4734715.271 -4000.559 3534.222 -5423.093
2818 2017-02-16T17:33:18 2017-02-16T17:33:18 103.060 43.545 508415.900 -4448955.487 2264094.258 4729289.094 -3995.118 3531.454 -5428.899
2818 2017-02-16T17:33:19 2017-02-16T17:33:19 103.041 43.483 508406.500 -4452948.015 2267624.443 4723857.115 -3989.672 3528.681 -5434.698
2818 2017-02-16T17:33:20 2017-02-16T17:33:20 103.021 43.420 508397.000 -4456935.095 2271151.853 4718419.339 -3984.221 3525.904 -5440.491
2818 2017-02-16T17:33:21 2017-02-16T17:33:21 103.002 43.358 508387.500 -4460916.722 2274676.485 4712975.773 -3978.766 3523.123 -5446.277
2818 2017-02-16T17:33:22 2017-02-16T17:33:22 102.982 43.295 508378.000 -4464892.890 2278198.332 4707526.425 -3973.305 3520.338 -5452.056
2818 2017-02-16T17:33:23 2017-02-16T17:33:23 102.963 43.233 508368.600 -4468863.595 2281717.392 4702071.301 -3967.840 3517.548 -5457.829
2818 2017-02-16T17:33:24 2017-02-16T17:33:24 102.944 43.170 508359.100 -4472828.832 2285233.660 4696610.407 -3962.369 3514.754 -5463.595
2818 2017-02-16T17:33:25 2017-02-16T17:33:25 102.924 43.108 508349.600 -4476788.596 2288747.132 4691143.750 -3956.894 3511.955 -5469.354
2818 2017-02-16T17:33:26 2017-02-16T17:33:26 102.905 43.045 508340.100 -4480742.882 2292257.803 4685671.337 -3951.414 3509.153 -5475.107
2818 2017-02-16T17:33:27 2017-02-16T17:33:27 102.885 42.983 508330.600 -4484691.686 2295765.669 4680193.175 -3945.930 3506.346 -5480.852
2818 2017-02-16T17:33:28 2017-02-16T17:33:28 102.866 42.921 508321.100 -4488635.002 2299270.726 4674709.269 -3940.440 3503.534 -5486.592
2818 2017-02-16T17:33:29 2017-02-16T17:33:29 102.847 42.858 508311.700 -4492568.892 2302769.469 4669225.120 -3934.951 3500.721 -5492.318
2818 2017-02-16T17:33:30 2017-02-16T17:33:30 102.828 42.796 508302.200 -4496501.224 2306268.897 4663729.756 -3929.452 3497.902 -5498.044
2818 2017-02-16T17:33:31 2017-02-16T17:33:31 102.809 42.733 508292.700 -4500428.055 2309765.503 4658228.669 -3923.947 3495.077 -5503.763
2818 2017-02-16T17:33:32 2017-02-16T17:33:32 102.790 42.671 508283.200 -4504349.378 2313259.283 4652721.866 -3918.438 3492.249 -5509.475
2818 2017-02-16T17:33:33 2017-02-16T17:33:33 102.770 42.608 508273.700 -4508265.191 2316750.232 4647209.354 -3912.925 3489.416 -5515.181
2818 2017-02-16T17:33:34 2017-02-16T17:33:34 102.751 42.546 508264.200 -4512175.487 2320238.347 4641691.139 -3907.406 3486.579 -5520.880
