 NO.     DATE      TIME       A(度)      V_A(度/秒)   h(度)      V_h(度/秒)     距离(km)     水平高(km)
00001  20181105  174351000  357.520810    0.000000    5.022841    0.000000    2079.620000      495.23
00001  20181105  174352000  357.462009    0.000000    5.100712    0.000000    2072.790000      495.24
00001  20181105  174353000  357.402784    0.000000    5.178871    0.000000    2065.970000      495.25
00001  20181105  174354000  357.343131    0.000000    5.257319    0.000000    2059.150000      495.25
00001  20181105  174355000  357.283045    0.000000    5.336058    0.000000    2052.330000      495.26
00001  20181105  174356000  357.222523    0.000000    5.415092    0.000000    2045.520000      495.26
00001  20181105  174357000  357.161559    0.000000    5.494423    0.000000    2038.710000      495.27
00001  20181105  174358000  357.100149    0.000000    5.574053    0.000000    2031.900000      495.27
00001  20181105  174359000  357.038341    0.000000    5.653905    0.000000    2025.110000      495.28
00001  20181105  174400000  356.976025    0.000000    5.734142    0.000000    2018.310000      495.28
00001  20181105  174401000  356.913250    0.000000    5.814686    0.000000    2011.510000      495.29
00001  20181105  174402000  356.850009    0.000000    5.895541    0.000000    2004.720000      495.29
00001  20181105  174403000  356.786299    0.000000    5.976708    0.000000    1997.920000      495.30
00001  20181105  174404000  356.722114    0.000000    6.058192    0.000000    1991.140000      495.30
00001  20181105  174405000  356.657448    0.000000    6.139993    0.000000    1984.350000      495.31
00001  20181105  174406000  356.592298    0.000000    6.222116    0.000000    1977.570000      495.31
00001  20181105  174407000  356.526658    0.000000    6.304564    0.000000    1970.800000      495.32
00001  20181105  174408000  356.460522    0.000000    6.387338    0.000000    1964.020000      495.33
00001  20181105  174409000  356.393885    0.000000    6.470442    0.000000    1957.250000      495.33
00001  20181105  174410000  356.326742    0.000000    6.553879    0.000000    1950.490000      495.34
00001  20181105  174411000  356.259088    0.000000    6.637652    0.000000    1943.720000      495.34
00001  20181105  174412000  356.190916    0.000000    6.721765    0.000000    1936.960000      495.35
00001  20181105  174413000  356.122221    0.000000    6.806218    0.000000    1930.210000      495.35
00001  20181105  174414000  356.052998    0.000000    6.891017    0.000000    1923.460000      495.36
00001  20181105  174415000  355.983241    0.000000    6.976165    0.000000    1916.710000      495.36
00001  20181105  174416000  355.912943    0.000000    7.061663    0.000000    1909.970000      495.37
00001  20181105  174417000  355.842099    0.000000    7.147516    0.000000    1903.230000      495.37
00001  20181105  174418000  355.770703    0.000000    7.233726    0.000000    1896.490000      495.38
00001  20181105  174419000  355.698748    0.000000    7.320297    0.000000    1889.760000      495.38
00001  20181105  174420000  355.626229    0.000000    7.407232    0.000000    1883.030000      495.39
00001  20181105  174421000  355.553139    0.000000    7.494535    0.000000    1876.310000      495.39
00001  20181105  174422000  355.479472    0.000000    7.582208    0.000000    1869.590000      495.40
00001  20181105  174423000  355.405221    0.000000    7.670255    0.000000    1862.870000      495.41
00001  20181105  174424000  355.330379    0.000000    7.758680    0.000000    1856.160000      495.41
00001  20181105  174425000  355.254941    0.000000    7.847486    0.000000    1849.460000      495.42
00001  20181105  174426000  355.178899    0.000000    7.936675    0.000000    1842.760000      495.42
00001  20181105  174427000  355.102246    0.000000    8.026253    0.000000    1836.060000      495.43
00001  20181105  174428000  355.024976    0.000000    8.116222    0.000000    1829.370000      495.43
00001  20181105  174429000  354.947147    0.000000    8.206495    0.000000    1822.690000      495.44
00001  20181105  174430000  354.868620    0.000000    8.297257    0.000000    1816.000000      495.44
00001  20181105  174431000  354.789454    0.000000    8.388421    0.000000    1809.320000      495.45
00001  20181105  174432000  354.709642    0.000000    8.479990    0.000000    1802.650000      495.45
00001  20181105  174433000  354.629176    0.000000    8.571970    0.000000    1795.980000      495.46
00001  20181105  174434000  354.548048    0.000000    8.664362    0.000000    1789.320000      495.46
00001  20181105  174435000  354.466250    0.000000    8.757171    0.000000    1782.660000      495.47
00001  20181105  174436000  354.383775    0.000000    8.850402    0.000000    1776.000000      495.47
00001  20181105  174437000  354.300615    0.000000    8.944056    0.000000    1769.360000      495.48
00001  20181105  174438000  354.216762    0.000000    9.038140    0.000000    1762.710000      495.48
00001  20181105  174439000  354.132207    0.000000    9.132655    0.000000    1756.070000      495.49
00001  20181105  174440000  354.046943    0.000000    9.227607    0.000000    1749.440000      495.49
00001  20181105  174441000  353.960960    0.000000    9.323000    0.000000    1742.810000      495.50
00001  20181105  174442000  353.874250    0.000000    9.418836    0.000000    1736.190000      495.50
